af_ad_id,af_ad,campaign,af_installs,af_signups,af_trials,af_trials_annual_reg,af_trials_annual_plus,af_trials_monthly,af_trial_cancelled,af_rc_purchase,af_trial_or_purchase,af_top_rev
,,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,,5425,1718,,,,272,,,
120248789397960167,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!harryspeaks__c7!Product_c8!og-video_scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,5154,3782,1156,869,173,54,219,1234,1154,83195.0
120249242654880167,c1!na_c2!video_c3!influencer_c4!speakmethod_c5!ongoing_c6!thedodomen_c7!noframe_c8!speak-without-fear_scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,5736,4214,1053,813,137,48,156,1111,1057,79779.0
120249019731940167,c1:Video_c2:video_c3:influencer_c4:productdemo_c5:promo_c6:ATienDai_c7:ValueProp_c8:speak-with-me-conv_scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,3869,2798,719,567,66,68,140,766,716,47672.0
120249105347140167,c1!UGC_c2!video_c3!ugc_c4!testimonial_c5!ongoing_c6!JPkol_c7!BA.lifestyle_c8!JapanOfficeGuyVlog_scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,2396,1772,526,385,74,45,112,561,521,37312.0
120246913787420167,c1!Static_c2!image_c3!generic_c4!testimonial_c5!ongoing_c6!na_c7!Testimonial_c8!ThreadsPost-Career-AITutor-1200x628_winning,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,2262,1386,479,303,110,26,76,561,490,41572.0
120245092958860167,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!TecherVincent_c7!ValueProp_c8!og-video,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,1522,1065,428,328,72,14,73,462,435,32170.0
120246363710990167,c1:UGC44_c2:video_c3:ugc_c4:testimonial_c5:ongoing_c6:camel_c7:Outcome_c8:BA2026_MonthlyProgress,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,1964,1365,420,353,29,12,91,445,417,33733.0
120249701534270167,c1!Video_c2!video_c3!influencer_c4!productdemo_c5!promo_c6!illyandlean_c7!relaunch_c8!speak-with-me,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,1708,1201,356,280,31,,47,384,363,25180.0
120249784194200167,c1!Video_c2!video_c3!influencer_c4!productdemo_c5!promo_c6!dachien_c7!26Q3Campaign_c8!police-conversation_c9!app_scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,1792,1290,353,298,31,10,43,378,353,26833.0
120248790253970167,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!eaglish.fam_c7!Product_c8!og-video_winning,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,1958,1212,339,285,36,8,50,419,345,17867.0
120247889446440167,c1!Static_c2!image_c3!generic_c4!testimonial_c5!ongoing_c6!na_c7!Testimonial_c8!ThreadsPost-Career-AITutor-1200x628_scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,1250,900,317,230,50,17,65,346,320,22205.0
120242147246810167,c1:na_c2:video_c3:influencer_c4:productdemo_c5:ongoing_c6:morning.jason_c7:Influencer_c8:Original-Reels,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,1088,836,300,235,42,13,57,303,299,23366.0
120248612089090167,c1!UGC_c2!video_c3!ugc_c4!valueprop_c5!ongoing_c6!SWM-Jenny_c7!Scenario_c8!SalaryNegotiation_scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,1098,833,266,181,49,26,50,301,263,24117.0
120249859615790167,c1!UGC_c2!video_c3!ugc_c4!testimonial_c5!promo_c6!Qing_c7!testimonial.BA.hook_c8!2026NYR-v2-PutOffForYears_c9!scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,931,722,259,203,28,7,31,281,260,16901.0
120246981244000167,c1!UGC_c2!video_c3!ugc_c4!productdemo_c5!ongoing_c6!hua_c7!UserTestimonials_c8!2026ResolutionEnglish5M_1full_winning,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,1214,693,247,188,38,11,41,304,249,23249.0
120249917976060167,c1!UGC_c2!video_c3!ugc_c4!testimonial_c5!promo_c6!Qing_c7!testimonial.BA.hook_c8!2026NYR-v2-PutOffForYears_c9!cpr,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,1246,794,216,160,28,10,44,252,216,13663.0
120248715237150167,c1!na_c2!video_c3!influencer_c4!problemsolution_c5!ongoing_c6!drama_engbook_c7!Testimonial_c8!input_output_short_scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,765,592,207,151,14,40,33,223,206,14066.0
120236574936400167,c1:na_c2:video_c3:influencer_c4:valueprop_c5:ongoing_c6:harryspeaks__c7:Speak_company_c8:1208,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,931,606,203,161,26,2,50,230,205,16238.0
120246363711040167,c1:S44_c2:image_c3:generic_c4:testimonial_c5:ongoing_c6:na_c7:ThreadsPost_c8:MediumContent-1080x1080_winner,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,768,543,187,130,38,8,38,207,188,22133.0
120248612012470167,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!brianptseng_c7!Product_c8!og-video_scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,866,577,186,146,20,12,38,202,190,20432.0
120248822296120167,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!eaglish.fam_c7!Product_c8!og-video_scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,787,572,168,138,12,12,28,180,166,17041.0
120249784171630167,c1!Video_c2!video_c3!influencer_c4!productdemo_c5!promo_c6!morning.jason_c7!26Q3Campaign_c8!og-video_c9!app_scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,864,587,149,119,25,2,14,154,149,9346.0
120249918254160167,c1!UGC_c2!video_c3!ugc_c4!testimonial_c5!promo_c6!Qing_c7!testimonial.BA.hook_c8!2026NYR-v2-PutOffForYears_c9!scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,550,410,120,89,19,4,19,129,121,11586.0
120249176077580167,c1!na_c2!video_c3!influencer_c4!speakmethod_c5!ongoing_c6!thedodomen_c7!noframe_c8!product-demo,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,504,390,116,88,16,10,17,114,119,11345.0
120247887628100167,c1!UGC_c2!video_c3!ugc_c4!productdemo_c5!ongoing_c6!AI-gen_c7!Outcome_c8!Workplace-ColleagueCompliment_1direct_scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,464,336,113,86,12,,25,122,114,9165.0
120248489704700167,c1!UGC_c2!video_c3!ugc_c4!valueprop_c5!ongoing_c6!SWM-Jenny_c7!Scenario_c8!SalaryNegotiation_winning,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,452,300,112,80,15,11,17,124,114,9204.0
120246191491950167,c1_UGC_c2_video_c3_ugc_c4_problemsolution_c5_ongoing_c6_AI-gen_c7_PainPoint_c8_TheFixforEnglishBrainFreeze-1direct -winning,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,397,233,111,94,10,7,18,125,109,7857.0
120248526868210167,c1!UGC_c2!video_c3!ugc_c4!valueprop_c5!ongoing_c6!SWM-Jenny_c7!Scenario_c8!SalaryNegotiation_winning_ccp-control,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,354,246,97,71,18,8,27,117,100,7240.0
120249918980570167,c1!UGC_c2!video_c3!ugc_c4!painpoint _c5!ongoing_c6!MIP-chenchensiss_c7!vlog.walking.allenglish_c8!taiwanese-good-at-english-yesandno_c9!app-testing,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,520,342,96,55,21,2,22,106,97,8517.0
120249242631140167,c1!na_c2!video_c3!influencer_c4!speakmethod_c5!ongoing_c6!thedodomen_c7!noframe_c8!og-video_scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,419,302,93,75,8,6,10,97,91,8025.0
120249020714940167,c1!UGC_c2!video_c3!ugc_c4!testimonial_c5!ongoing_c6!Qing_c7!Product_c8!DoesAIEnglishLearningWork_2humantutor,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,372,231,85,75,2,8,12,99,85,6963.0
