ad_id,spend,impressions,clicks,installs,trials,adj_trials,init_purch,trial_converts,campaign_name,ad_name,format,category,concept,creator_name,first_date,last_date,active_days,bucket,clean_name,c1,ipm,tpi,cpft,ctr,meta_paid_obs,ssot_trials,ssot_paid,ssot_ltv,af_installs,af_trials,af_trials_annual_reg,af_trials_annual_plus,af_trials_monthly,sp,phase,p1_point,p2_point
120236574936400167,6669.08,1120303,19928,435,108,187.08,26,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1:na_c2:video_c3:influencer_c4:valueprop_c5:ongoing_c6:harryspeaks__c7:speak_company_c8:1208,video,valueprop,speak_company,harryspeaks_,2026-06-01,2026-06-29,29.0,Winning,influencer – harryspeaks,na_c2,0.3882878114224455,0.09640249111177958,61.75074074074074,0.01778804484144022,26.0,136.0,54.93,5674.8,931.0,203.0,161.0,26.0,2.0,2.901313465718351,Phase 1 Winner,True,False
120239549733890167,0.56,142,9,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,rw_s22a2_singletestimonial_pm_zh-en_1x1_tw_testimonial_effective,,,,,2026-09-15,2026-09-15,1.0,Winning,rw_s22a2_singletestimonial_pm_zh-en_1x1_tw_testimonial_effective,Untagged,0.0,0.0,,0.06338028169014084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2607500852918331,Pause,False,False
120240275100650167,34.78,11197,122,2,0,0.0,1,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1:m19_c2:video_c3:motion_c4:testimonial_c5:ongoing_c6:na_c7:motiontestimonial_c8:jpwinning-textandwave,video,testimonial,motiontestimonial,na,2026-06-01,2026-06-10,10.0,Winning,motion – na – motiontestimonial,m19_c2,0.17861927301955882,0.0,,0.010895775654193087,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.5395101592117078,Pause,False,False
120242147246810167,7077.57,1099687,17325,588,150,251.87,43,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1:na_c2:video_c3:influencer_c4:productdemo_c5:ongoing_c6:morning.jason_c7:influencer_c8:original-reels,video,productdemo,influencer,morning.jason,2026-06-01,2026-06-29,29.0,Winning,influencer – morning.jason – influencer,na_c2,0.5346976003171812,0.1364024490605054,47.1838,0.015754482866488374,43.0,193.0,77.44,7998.9,1088.0,300.0,235.0,42.0,13.0,3.21543921868891,Phase 2 Winner,True,True
120242508326330167,50.14,17935,566,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1!s45_c2!image_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!aspiration_c8!57200sentences-travel,,,,,2026-06-01,2026-06-15,14.0,Winning,generic – na – aspiration,s45_c2,0.0,0.0,,0.03155840535266239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5869485475935936,Mid-Tier,False,False
120242508965130167,71.46000000000001,20016,772,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1!s45_c2!image_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!aspiration_c8!englishinterview,,,,,2026-06-01,2026-06-15,15.0,Winning,generic – na – aspiration,s45_c2,0.0,0.0,,0.0385691446842526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7940716612390795,Mid-Tier,False,False
120242510079090167,1.06,204,0,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1!s45_c2!image_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!aspiration_c8!57200sentences-offer,,,,,2026-09-15,2026-09-15,1.0,Winning,generic – na – aspiration,s45_c2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause,False,False
120243701212520167,1104.0,182777,2040,48,11,19.71,6,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1:ugc6_c2:video_c3:ugc_c4:problemsolution_c5:ongoing_c6:qing_c7:englishintrovert_c8:na,video,problemsolution,englishintrovert,qing,2026-06-01,2026-06-24,24.0,Winning,ugc – qing – englishintrovert,ugc6_c2,0.2626150992739787,0.06018262691695345,100.36363636363636,0.011161141719144094,6.0,13.0,5.24,541.7,122.0,24.0,15.0,4.0,2.0,2.857018194387356,Phase 1 Winner,True,False
120245092958860167,13556.09,2147984,33912,698,256,426.15000000000003,52,10.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!techervincent_c7!valueprop_c8!og-video,,,,,2026-06-01,2026-07-29,59.0,Winning,influencer – techervincent – valueprop,na_c2,0.32495586559303985,0.11918152090518365,52.9534765625,0.015787827097408547,62.0,258.0,102.26,10466.8,1522.0,428.0,328.0,72.0,14.0,3.1488272807015703,Phase 2 Winner,True,True
120245149598320167,0.31,97,4,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1:na_c2:image_c3:influencer_c4:valueprop_c5:ongoing_c6:tantooyu_c7:valueprop_c8:og-post-keep-speaking-winning,image,valueprop,valueprop,tantooyu,2026-06-01,2026-06-02,2.0,Winning,influencer – tantooyu – valueprop,na_c2,0.0,0.0,,0.041237113402061855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.811794400810634,Pause,False,False
