ad_id,spend,impressions,clicks,installs,trials,adj_trials,init_purch,trial_converts,campaign_name,ad_name,format,category,concept,creator_name,first_date,last_date,active_days,bucket,clean_name,c1,ipm,tpi,cpft,ctr,meta_paid_obs,ssot_trials,ssot_paid,ssot_ltv,af_installs,af_trials,af_trials_annual_reg,af_trials_annual_plus,af_trials_monthly,sp,phase,p1_point,p2_point,ltv_cac,signups,days,cpi,cps,cpm,ipc,signup_rate,spm,tpi_ssot,spend_per_day,vel_ratio
120236574936400167,6669.08,1120303,19928,435,108,187.08,26,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1:na_c2:video_c3:influencer_c4:valueprop_c5:ongoing_c6:harryspeaks__c7:speak_company_c8:1208,video,valueprop,speak_company,harryspeaks_,2026-06-01,2026-06-29,29.0,Winning,influencer – harryspeaks,na_c2,0.3882878114224455,0.0964024911117795,61.75074074074074,0.0177880448414402,26.0,136.0,54.93,5674.8,931.0,203.0,161.0,26.0,2.0,2.901313465718351,Phase 1 Winner,True,False,1.365,216.0,29,15.331218390804597,30.87537037037037,5.952925235405065,0.021828582898434364,0.496551724137931,0.19280498222355916,0.31264367816091954,229.96827586206896,4.666289254741141
120239549733890167,0.56,142,9,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,rw_s22a2_singletestimonial_pm_zh-en_1x1_tw_testimonial_effective,,,,,2026-09-15,2026-09-15,1.0,Winning,rw_s22a2_singletestimonial_pm_zh-en_1x1_tw_testimonial_effective,Untagged,0.0,0.0,,0.0633802816901408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2607500852918331,Pause,False,False,0.0,0.0,1,,,3.9436619718309864,0.0,,0.0,,0.56,0.011362967230412012
120240275100650167,34.78,11197,122,2,0,0.0,1,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1:m19_c2:video_c3:motion_c4:testimonial_c5:ongoing_c6:na_c7:motiontestimonial_c8:jpwinning-textandwave,video,testimonial,motiontestimonial,na,2026-06-01,2026-06-10,10.0,Winning,motion – na – motiontestimonial,m19_c2,0.1786192730195588,0.0,,0.010895775654193,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.5395101592117078,Pause,False,False,0.0,1.0,10,17.39,34.78,3.1061891578101277,0.01639344262295082,0.5,0.08930963650977941,0.0,3.478,0.07057214290602316
120242147246810167,7077.57,1099687,17325,588,150,251.87,43,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1:na_c2:video_c3:influencer_c4:productdemo_c5:ongoing_c6:morning.jason_c7:influencer_c8:original-reels,video,productdemo,influencer,morning.jason,2026-06-01,2026-06-29,29.0,Winning,influencer – morning.jason – influencer,na_c2,0.5346976003171812,0.1364024490605054,47.1838,0.0157544828664883,43.0,193.0,77.44,7998.9,1088.0,300.0,235.0,42.0,13.0,3.21543921868891,Phase 2 Winner,True,True,2.222,339.0,29,12.036683673469387,20.877787610619468,6.435985875981074,0.03393939393939394,0.576530612244898,0.3082695348767422,0.3282312925170068,244.05413793103446,4.952105663851424
120242508326330167,50.14,17935,566,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1!s45_c2!image_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!aspiration_c8!57200sentences-travel,,,,,2026-06-01,2026-06-15,14.0,Winning,generic – na – aspiration,s45_c2,0.0,0.0,,0.0315584053526623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5869485475935936,Mid-Tier,False,False,0.0,0.0,14,,,2.7956509618065235,0.0,,0.0,,3.5814285714285714,0.07267081338429314
120242508965130167,71.46000000000001,20016,772,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1!s45_c2!image_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!aspiration_c8!englishinterview,,,,,2026-06-01,2026-06-15,15.0,Winning,generic – na – aspiration,s45_c2,0.0,0.0,,0.0385691446842526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7940716612390797,Mid-Tier,False,False,0.0,0.0,15,,,3.5701438848920866,0.0,,0.0,,4.764,0.09666638551014789
120242510079090167,1.06,204,0,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1!s45_c2!image_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!aspiration_c8!57200sentences-offer,,,,,2026-09-15,2026-09-15,1.0,Winning,generic – na – aspiration,s45_c2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause,False,False,0.0,0.0,1,,,5.196078431372549,,,0.0,,1.06,0.021508473686137022
120243701212520167,1104.0,182777,2040,48,11,19.71,6,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1:ugc6_c2:video_c3:ugc_c4:problemsolution_c5:ongoing_c6:qing_c7:englishintrovert_c8:na,video,problemsolution,englishintrovert,qing,2026-06-01,2026-06-24,24.0,Winning,ugc – qing – englishintrovert,ugc6_c2,0.2626150992739787,0.0601826269169534,100.36363636363636,0.011161141719144,6.0,13.0,5.24,541.7,122.0,24.0,15.0,4.0,2.0,2.857018194387356,Phase 1 Winner,True,False,0.586,29.0,24,23.0,38.06896551724138,6.0401472833015095,0.023529411764705882,0.6041666666666666,0.15866328914469546,0.2708333333333333,46.0,0.9333865939267009
120245092958860167,13556.09,2147984,33912,698,256,426.15,52,10.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!techervincent_c7!valueprop_c8!og-video,,,,,2026-06-01,2026-07-29,59.0,Winning,influencer – techervincent – valueprop,na_c2,0.3249558655930398,0.1191815209051836,52.9534765625,0.0157878270974085,62.0,258.0,102.26,10466.8,1522.0,428.0,328.0,72.0,14.0,3.1488272807015703,Phase 2 Winner,True,True,1.848,432.0,59,19.421332378223497,31.379837962962963,6.311075873935746,0.02058268459542345,0.6189111747851003,0.2011188165274974,0.36962750716332377,229.7642372881356,4.662149105403025
120245149598320167,0.31,97,4,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1:na_c2:image_c3:influencer_c4:valueprop_c5:ongoing_c6:tantooyu_c7:valueprop_c8:og-post-keep-speaking-winning,image,valueprop,valueprop,tantooyu,2026-06-01,2026-06-02,2.0,Winning,influencer – tantooyu – valueprop,na_c2,0.0,0.0,,0.0412371134020618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.811794400810634,Pause,False,False,0.0,0.0,2,,,3.195876288659794,0.0,,0.0,,0.155,0.0031451070012747527
